position,tile_type,cost,rent,color,name,house_price,x,y
0,recieve,200,,,Go,,560,560
1,property,60,"[2, 10, 30, 90, 160, 250]",Brown,Old Kent Road,30,496,560
2,community chest,,,,Community Chest,,496,560
3,property,60,"[4, 20, 60, 180, 320, 450]",Brown,Whitechapel Road,30,398,560
4,pay,200,,,Income Tax,,349,560
5,station,200,,Station,King's Cross station,,300,560
6,property,100,"[6, 30, 90, 270, 400, 550]",Light blue,"The Angel, Islington",50,250,560
7,chance,,,,Chance,,201,560
8,property,100,"[6, 30, 90, 270, 400, 550]",Light blue,Euston Road,50,152,560
9,property,120,"[8, 40, 100, 300, 450, 600]",Light blue,Pentonville Road,60,103,560
10,jail,,,,Jail,,39,560
11,property,140,"[10, 50, 150, 450, 625, 750]",Pink,Pall Mall,70,39,496
12,utility,150,,,Electric Company,,39,447
13,property,140,"[10, 50, 150, 450, 625, 750]",Pink,Whitehall,70,39,398
14,property,160,"[12, 60, 180, 500, 700, 900]",Pink,Northumberland Avenue,80,39,349
15,station,200,,Station,Marylebone station,,39,300
16,property,180,"[14, 70, 200, 550, 750, 950]",Orange,Bow Street,90,39,250
17,community chest,,,,Community Chest,,39,250
18,property,180,"[14, 70, 200, 550, 750, 950]",Orange,Marlborough Street,90,39,152
19,property,200,"[16, 80, 220, 600, 800, 1000]",Orange,Vine Street,100,39,103
20,parking,,,,Free Parking,,39,39
21,property,220,"[18, 90, 250, 700, 875, 1050]",Red,Strand,110,103,39
22,chance,,,,Chance,,152,39
23,property,220,"[18, 90, 250, 700, 875, 1050]",Red,Fleet Street,110,201,39
24,property,240,"[20, 100, 300, 750, 925, 1100]",Red,Trafalgar Square,120,250,39
25,station,200,,Station,Fenchurch Street station,,300,39
26,property,260,"[22, 110, 330, 800, 975, 1150]",Yellow,Leicester Square,130,349,39
27,property,260,"[22, 110, 330, 800, 975, 1150]",Yellow,Coventry Street,130,398,39
28,utility,150,,,Water Works,,447,39
29,property,280,"[22, 120, 360, 850, 1025, 1200]",Yellow,Piccadilly,140,496,39
30,move,,,,Go to Jail,,560,39
31,property,300,"[26, 130, 390, 900, 1100, 1275]",Green,Regent Street,150,560,103
32,property,300,"[26, 130, 390, 900, 1100, 1275]",Green,Oxford Street,150,560,152
33,community chest,,,,Community Chest,,560,152
34,property,320,"[28, 150, 450, 1000, 1200, 1400]",Green,Bond Street,160,560,250
35,station,200,,Station,Liverpool Street station,,560,300
36,chance,,,,Chance,,560,349
37,property,350,"[35, 175, 500, 1100, 1300, 1500]",Dark blue,Park Lane,175,560,398
38,pay,100,,,Super Tax,,560,447
39,property,400,"[50, 200, 600, 1400, 1700, 2000]",Dark blue,Mayfair,200,560,496
